title;char;price
Смартфон Poco M3 4/128GB, желтый J19C;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;12896
Смартфон Xiaomi Redmi 9T 4/64GB, черный;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;13560
Смартфон Xiaomi Redmi 9 4/64GB, зеленый;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Helio G80 (8 ядер), 2.0 ГГц;11515
Смартфон Apple iPhone 11 128GB, черный;Диагональ экрана: 6.1Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 12Процессор: A13 Bionic (6 ядер), 2.65 ГГц;52509
Смартфон Poco X3 Pro  8/256GB, бронза;Диагональ экрана: 6.67Оперативная память: 8 ГБВстроенная память: 256 ГБРазрешение основной камеры: 48Процессор: Snapdragon 860 (8 ядер), 2.96 ГГц;22990
Смартфон Poco X3 NFC 6/128GB, синий;Диагональ экрана: 6.67Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Snapdragon 732G (8 ядер), 2.3 ГГц;19791
Смартфон Poco X3 NFC Global Version 6/128GB, серый;Диагональ экрана: 6.67Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Snapdragon 732G (8 ядер), 2.3 ГГц;19791
Смартфон Samsung Galaxy A32 4/128GB, черный;Диагональ экрана: 6.4Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Helio G80 (8 ядер), 2.0 ГГц;19980
Смартфон Vivo Y31 4/128GB, черный;Диагональ экрана: 6.58Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;14980
Смартфон Huawei P Smart 2021 4/128GB, черный;Диагональ экрана: 6.67Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Kirin 710A (8 ядер), 2.0 ГГц;15990
Смартфон Vivo Y31 4/128GB, черный;Диагональ экрана: 6.58Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;14980
Смартфон Poco F3 8/256GB, черный;Диагональ экрана: 6.67Оперативная память: 8 ГБВстроенная память: 256 ГБРазрешение основной камеры: 48Процессор: Snapdragon 870 (8 ядер), 3.2 ГГц;32391
Смартфон Samsung Galaxy A32 4/128GB, черный;Диагональ экрана: 6.4Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Helio G80 (8 ядер), 2.0 ГГц;19980
Смартфон Samsung Galaxy A32 4/64GB, черный;Диагональ экрана: 6.4Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 64Процессор: Helio G80 (8 ядер), 2.0 ГГц;17991
Смартфон Samsung Galaxy A02 2/32GB, красный;Диагональ экрана: 6.5Оперативная память: 2 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: MT6739 (4 ядра), 1.5 ГГц;8091
Смартфон Samsung Galaxy A02s 3/32GB, белый;Диагональ экрана: 6.5Оперативная память: 3 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: Snapdragon 450 (8 ядер), 1.8 ГГц;9892
Смартфон Xiaomi Mi 11 lite 8/128GB, голубой;Диагональ экрана: 6.55Оперативная память: 8 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Snapdragon 732G (8 ядер), 2.3 ГГц;30050
Смартфон realme C11 (2021) 2/32GB, голубой;Диагональ экрана: 6.5Оперативная память: 2 ГБВстроенная память: 32 ГБРазрешение основной камеры: 8Процессор: Snapdragon 215 (4 ядра), 1.3 ГГц;7912
Смартфон Poco M3 Pro 6/128GB, синий;Диагональ экрана: 6.53Оперативная память: 6 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Dimensity 700 (8 ядер), 2.2 ГГц;16740
Смартфон Vivo Y20 4/64GB, черный;Диагональ экрана: 6.51Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Snapdragon 460 (8 ядер), 1.8 ГГц;10590
Смартфон Samsung Galaxy A12 4/128GB, черный;Диагональ экрана: 6.5Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: MT6765 (8 ядер), 2.3 ГГц;15970
Смартфон Huawei P40 lite E 4/64GB, черный;Диагональ экрана: 6.39Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Kirin 710F (8 ядер), 2.2 ГГц;11186
Смартфон Samsung 2/32GB, черный;Диагональ экрана: 6.5Оперативная память: 2 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: MT6739 (4 ядра), 1.5 ГГц;8990
Смартфон Apple iPhone 11 128GB, белый;Диагональ экрана: 6.1Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 12Процессор: A13 Bionic (6 ядер), 2.65 ГГц;52509
Смартфон Poco M3 4/128GB, черный J19C;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;14490
Смартфон Samsung Galaxy A01 Core 1/16GB, черный;Диагональ экрана: 5.3Оперативная память: 1 ГБВстроенная память: 16 ГБРазрешение основной камеры: 8Процессор: MT6739 (4 ядра), 1.5 ГГц;6490
Смартфон Nokia G20 4/128GB, синий;Диагональ экрана: 6.5Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Helio G35 (8 ядер), 2.3 ГГц;13990
